epoch_time,heading,x,y
1751118850.576474,-0.001310994,0.097743955,-0.000055104
1751118850.583899,-0.001377683,0.100274875,-0.000058422
1751118850.597967,-0.001438070,0.103797523,-0.000063275
1751118850.604585,-0.001430145,0.106327869,-0.000066914
1751118850.616537,-0.001470719,0.110363665,-0.000072686
1751118850.626295,-0.001517539,0.113461102,-0.000077241
1751118850.636318,-0.001549872,0.117139138,-0.000082823
1751118850.647148,-0.001563469,0.120523273,-0.000088068
1751118850.656611,-0.001578092,0.124162988,-0.000093758
1751118850.667362,-0.001607073,0.127872641,-0.000099612
1751118850.677021,-0.001657555,0.131001276,-0.000104640
1751118850.686292,-0.001732537,0.134512456,-0.000110460
1751118850.697045,-0.001811490,0.138209610,-0.000116866
1751118850.707280,-0.001906806,0.141579672,-0.000122971
1751118850.722798,-0.001995857,0.145364723,-0.000130188
1751118850.729503,-0.002070492,0.149181885,-0.000137807
1751118850.742255,-0.002148099,0.153914397,-0.000147605
1751118850.754289,-0.002206209,0.158042577,-0.000156473
1751118850.759516,-0.002247453,0.161874018,-0.000164926
1751118850.771124,-0.002293547,0.166319658,-0.000174917
1751118850.782462,-0.002331428,0.170149957,-0.000183702
1751118850.790458,-0.002362738,0.174704147,-0.000194320
1751118850.798814,-0.002413812,0.178646180,-0.000203634
1751118850.808535,-0.002480191,0.182963762,-0.000214056
1751118850.820677,-0.002570320,0.188476480,-0.000227729
1751118850.829808,-0.002640917,0.192794533,-0.000238827
1751118850.840119,-0.002706161,0.197380445,-0.000250938
1751118850.851919,-0.002780876,0.202631999,-0.000265150
1751118850.874216,-0.002812912,0.210509589,-0.000287057
1751118850.874324,-0.002829699,0.212423244,-0.000292440
1751118850.880994,-0.002897059,0.217031004,-0.000305478
1751118850.893513,-0.002968570,0.222371808,-0.000320951
1751118850.904004,-0.003048334,0.228459715,-0.000339023
1751118850.914812,-0.003115679,0.233599740,-0.000354692
1751118850.924760,-0.003206405,0.238448824,-0.000369800
1751118850.934172,-0.003310606,0.243160336,-0.000385153
1751118850.944360,-0.003362857,0.248647838,-0.000403320
1751118850.953045,-0.003432821,0.253491901,-0.000419610
1751118850.963474,-0.003514324,0.259134844,-0.000438981
1751118850.973741,-0.003577755,0.264569224,-0.000458079
1751118850.987544,-0.003651331,0.271053161,-0.000481277
1751118851.002357,-0.003691993,0.278289396,-0.000507699
1751118851.004423,-0.003735735,0.282447916,-0.000523052
1751118851.029110,-0.003841849,0.289759151,-0.000550365
1751118851.029206,-0.003898647,0.294150558,-0.000567237
1751118851.037374,-0.003973781,0.299959688,-0.000589885
1751118851.043782,-0.004071116,0.305884561,-0.000613429
1751118851.054381,-0.004135787,0.311837937,-0.000637666
1751118851.063475,-0.004187116,0.317877567,-0.000662645
1751118851.083720,-0.004242703,0.324418253,-0.000690031
1751118851.083910,-0.004335595,0.330645495,-0.000716452
1751118851.093541,-0.004375194,0.336924203,-0.000743674
1751118851.105177,-0.004463779,0.344113461,-0.000775129
1751118851.118045,-0.004516397,0.352004855,-0.000810354
1751118851.128571,-0.004565137,0.358445290,-0.000839442
1751118851.136951,-0.004633667,0.363410829,-0.000862110
1751118851.152976,-0.004706884,0.369223931,-0.000889047
1751118851.154125,-0.004766474,0.375942136,-0.000920669
1751118851.164507,-0.004889965,0.383208712,-0.000955754
1751118851.173611,-0.004930752,0.389301650,-0.000985548
1751118851.183745,-0.004978282,0.396401825,-0.001020558
1751118851.193717,-0.005000624,0.403256418,-0.001054682
1751118851.204162,-0.005102551,0.410434953,-0.001090579
1751118851.213856,-0.005192003,0.417032978,-0.001124246
1751118851.224579,-0.005305256,0.424291342,-0.001162343
